"grdc.id"	"basin.set"	"reservoir"	"capacity_km3"	"surface.area_km2"	"mean.depth_m"	"mean.inflow_km3d"
"140"	"X4115349"	"additional"	"irrigation"	0.0212999992072582	1	21.2999992072582	0.00236999662593007
"141"	"X4115349"	"additional"	"non-irrigation"	0.0617000013589859	10	6.17000013589859	0.00086703704437241
"142"	"X4115349"	"additional"	"irrigation"	0.0244999993592501	1	24.4999993592501	0.000432231987360865
"143"	"X4208734"	"additional"	"irrigation"	0.103000000119209	2	51.5000000596046	0.0390451215207577
"144"	"X4115400"	"behavioural"	"non-irrigation"	0.277500003576279	125	2.22000002861023	0.411097675561905
"145"	"X4122250"	"behavioural"	"non-irrigation"	0.0308999996632338	1	30.8999996632338	0.00173663627356291
"146"	"X4126100"	"behavioural"	"non-irrigation"	1.19430005550385	15	79.6200037002563	0.0688676461577415
"147"	"X4126100"	"behavioural"	"non-irrigation"	1.97599995136261	54	36.5925916919002	0.102424621582031
"148"	"X4126100"	"behavioural"	"non-irrigation"	0.457100003957748	7	65.3000005653926	0.0155953373759985
"149"	"X4119430"	"behavioural"	"non-irrigation"	0.0186000000685453	3	6.20000002284845	0.068120926618576
"150"	"X4356300"	"behavioural"	"irrigation"	0.293999999761581	6	48.9999999602636	0.0255353190004826
"151"	"X4120125"	"additional"	"non-irrigation"	0.745999991893768	25	29.8399996757507	0.0533545985817909
"152"	"X4123277"	"behavioural"	"non-irrigation"	0.286199986934662	14	20.4428562096187	0.24242240190506
"153"	"X4123206"	"behavioural"	"non-irrigation"	0.0143999997526407	0	0	0.00192341709043831
"154"	"X4123206"	"behavioural"	"non-irrigation"	0.0147000001743436	1	14.7000001743436	0.00192185363266617
"155"	"X4119290"	"additional"	"non-irrigation"	2.2966001033783	58	39.5965535065223	0.150248795747757
"156"	"X4119070"	"behavioural"	"non-irrigation"	0.0553999990224838	6	9.23333317041397	0.00114727800246328
"157"	"X4119070"	"behavioural"	"non-irrigation"	0.0582000017166138	10	5.82000017166138	0.00550872040912509
